index_7networks,name_7networks,x,y,z,index_17networks,name_17networks
1,7Networks_LH_Vis_1,-33,-42,-21,61,17Networks_LH_DorsAttnA_TempOcc_2
2,7Networks_LH_Vis_2,-30,-33,-18,193,17Networks_LH_DefaultC_PHC_2
3,7Networks_LH_Vis_3,-36,-62,-17,1,17Networks_LH_VisCent_ExStr_1
4,7Networks_LH_Vis_4,-24,-55,-8,13,17Networks_LH_VisPeri_ExStrInf_1
5,7Networks_LH_Vis_5,-23,-73,-10,2,17Networks_LH_VisCent_ExStr_2
6,7Networks_LH_Vis_6,-36,-81,-16,3,17Networks_LH_VisCent_ExStr_3
7,7Networks_LH_Vis_7,-18,-37,-12,194,17Networks_LH_DefaultC_PHC_3
8,7Networks_LH_Vis_8,-45,-70,-8,63,17Networks_LH_DorsAttnA_TempOcc_4
9,7Networks_LH_Vis_9,-17,-86,-15,4,17Networks_LH_VisCent_ExStr_4
10,7Networks_LH_Vis_10,-12,-62,-5,14,17Networks_LH_VisPeri_ExStrInf_2
11,7Networks_LH_Vis_11,-7,-76,-6,15,17Networks_LH_VisPeri_ExStrInf_3
12,7Networks_LH_Vis_12,-24,-97,-12,5,17Networks_LH_VisCent_ExStr_5
13,7Networks_LH_Vis_13,-13,-43,-5,16,17Networks_LH_VisPeri_ExStrInf_4
14,7Networks_LH_Vis_14,-41,-87,-3,6,17Networks_LH_VisCent_ExStr_6
15,7Networks_LH_Vis_15,-7,-98,-7,7,17Networks_LH_VisCent_Striate_1
16,7Networks_LH_Vis_16,-14,-57,1,17,17Networks_LH_VisPeri_ExStrInf_5
17,7Networks_LH_Vis_17,-46,-73,6,8,17Networks_LH_VisCent_ExStr_7
18,7Networks_LH_Vis_18,-5,-88,2,18,17Networks_LH_VisPeri_StriCal_1
19,7Networks_LH_Vis_19,-24,-96,6,9,17Networks_LH_VisCent_ExStr_8
20,7Networks_LH_Vis_20,-13,-49,4,189,17Networks_LH_DefaultC_Rsp_1
21,7Networks_LH_Vis_21,-7,-74,9,19,17Networks_LH_VisPeri_StriCal_2
22,7Networks_LH_Vis_22,-19,-65,7,20,17Networks_LH_VisPeri_ExStrSup_1
23,7Networks_LH_Vis_23,-39,-84,14,10,17Networks_LH_VisCent_ExStr_9
24,7Networks_LH_Vis_24,-11,-97,17,11,17Networks_LH_VisCent_ExStr_10
25,7Networks_LH_Vis_25,-3,-84,24,21,17Networks_LH_VisPeri_ExStrSup_2
26,7Networks_LH_Vis_26,-12,-71,20,22,17Networks_LH_VisPeri_ExStrSup_3
27,7Networks_LH_Vis_27,-25,-85,21,12,17Networks_LH_VisCent_ExStr_11
28,7Networks_LH_Vis_28,-32,-84,27,65,17Networks_LH_DorsAttnA_ParOcc_2
29,7Networks_LH_Vis_29,-16,-89,33,23,17Networks_LH_VisPeri_ExStrSup_4
30,7Networks_LH_Vis_30,-12,-81,36,24,17Networks_LH_VisPeri_ExStrSup_5
31,7Networks_LH_Vis_31,-21,-79,45,67,17Networks_LH_DorsAttnA_SPL_2
32,7Networks_LH_SomMot_1,-50,-9,0,44,17Networks_LH_SomMotB_Aud_1
33,7Networks_LH_SomMot_2,-56,-22,8,45,17Networks_LH_SomMotB_Aud_2
34,7Networks_LH_SomMot_3,-36,-24,10,46,17Networks_LH_SomMotB_Ins_1
35,7Networks_LH_SomMot_4,-38,-9,13,47,17Networks_LH_SomMotB_S2_1
36,7Networks_LH_SomMot_5,-36,-26,19,48,17Networks_LH_SomMotB_S2_2
37,7Networks_LH_SomMot_6,-59,-37,16,49,17Networks_LH_SomMotB_Aud_3
38,7Networks_LH_SomMot_7,-41,-35,14,50,17Networks_LH_SomMotB_Aud_4
39,7Networks_LH_SomMot_8,-49,-13,14,51,17Networks_LH_SomMotB_S2_3
40,7Networks_LH_SomMot_9,-60,-2,11,52,17Networks_LH_SomMotB_S2_4
41,7Networks_LH_SomMot_10,-48,-24,18,53,17Networks_LH_SomMotB_S2_5
42,7Networks_LH_SomMot_11,-61,-18,19,54,17Networks_LH_SomMotB_S2_6
43,7Networks_LH_SomMot_12,-59,-2,23,55,17Networks_LH_SomMotB_Cent_1
44,7Networks_LH_SomMot_13,-63,-10,31,56,17Networks_LH_SomMotB_Cent_2
45,7Networks_LH_SomMot_14,-53,-9,30,57,17Networks_LH_SomMotB_Cent_3
46,7Networks_LH_SomMot_15,-55,-20,41,74,17Networks_LH_DorsAttnB_PostC_2
